ID,353_B_glu_14,353_B_mal_2,353_C_glu_15,353_C_mal_3,535_A_glu_13,535_A_mal_1,570_A_glu_16,570_A_mal_4,570_B_glu_17,570_B_mal_5,570_C_glu_18,570_C_mal_6,580_A_glu_19,580_A_mal_7,580_B_glu_20,580_B_mal_8,580_C_glu_21,580_C_mal_9,584_A_glu_22,584_A_mal_10,584_B_glu_23,584_B_mal_11,584_C_glu_24,584_C_mal_12,,,,,,,
YALI0B02409g,0.014575117,0.01236444,0.009326558,0.017474561,0.01107277,0.013431738,0.011011618,0.021034806,0.010492075,0.014594958,0.009372146,0.016493899,0.006661063,0.026553267,0.008348977,0.018963036,0.011199924,0.018757867,0.026148482,0.016157269,0.016008901,0.021734541,0.009391105,0.021670146,,,,,,,
YALI0B04851g,0.001660096,0.002647046,0.002145912,0.00224254,0.002482457,0.002384825,0.0021528,0.00217582,0.002235877,0.00286252,0.001765894,0.001765193,0.00156368,0.002868414,0.002580627,0.002101485,0.002968298,0.002464289,0.002593364,0.002089794,0.00283319,0.00195743,0.001717616,0.001147394,,,,,,,
ATP19,0.052486067,0.0531541,0.045336391,0.049593393,0.048319659,0.053479913,0.051017886,0.054865905,0.053304631,0.052486828,0.050005154,0.058688971,0.047070025,0.058128431,0.042771365,0.048261792,0.05383506,0.055841649,0.050730829,0.052550984,0.054019521,0.049419499,0.054088493,0.050615487,,,,,,,
YALI0B17061g,0.006489429,0.004802357,0.007437771,0.005314977,0.007323287,0.003517112,0.007424439,0.00540642,0.006938784,0.004687767,0.007450222,0.006563635,0.00735793,0.006444458,0.005127613,0.004834449,0.007258263,0.005768747,0.007052562,0.005871018,0.005243823,0.004957198,0.005332913,0.004620357,,,,,,,
YALI0B18298g,0.007086146,0.000707098,0.005613058,0.002866823,0.011402965,0.002217196,0.01022688,0.005081966,0.003412841,0.000291502,0.003152342,0.002473147,0.004659309,0.006100861,0.007506634,0.000367963,0.004449508,0.002351677,0.003918763,0.002112434,0.009320367,0.004550284,0.004522614,0.002133052,,,,,,,
ATP20,0.024785485,0.0275902,0.026346867,0.027556753,0.026360625,0.024001453,0.025344591,0.030278245,0.025228813,0.029552496,0.029819677,0.027773185,0.02841717,0.026388571,0.033472122,0.027911621,0.027086505,0.028590858,0.024151679,0.035901321,0.026819758,0.027395966,0.021826392,0.040537187,,,,,,,
YALI0B22125g,0.009161183,0.007674584,0.009319625,0.008017507,0.010495591,0.008433762,0.00939239,0.007351376,0.013164697,0.007623764,0.017184808,0.00826361,0.009401249,0.013770243,0.010815182,0.013820128,0.011833004,0.008166573,0.009121937,0.010528406,0.00745906,0.007214827,0.015386121,0.011385251,,,,,,,
YALI0C00550g,0.00071189,0.000546909,0.000750145,0.000483069,0.000532102,0.00065082,0.000585554,0.000645228,0,0.000535565,0,0,0.000758263,0.000672885,0.000541581,0.000616703,0.000811138,0.000572932,0.000653878,0.000637858,0.000487549,0.000799843,0.000648461,0,,,,,,,
YALI0C05500g,0.002207944,0.003285294,0.001346802,0.002519432,0.003052744,0.001672912,0.002008721,0.00252974,0.00469457,0.002079059,0.001587053,0.000324081,0.002223835,0.001277474,0.005984675,0.002091446,0.001265959,0.003563661,0.002279258,0.001616064,0.005603072,0.004248063,0.004000778,0.002190605,,,,,,,
YALI0C15237g,0,0,0,0,0,0,0,0,7.10416E-05,0,0,0,0,0,0,0,0,0,0,3.81359E-05,0,0,0,0.00025561,,,,,,,
