"yarrowiacyc"	"Row Labels"	"Description"	"UniProt"	"CLB22 Gene Name"	"CLB22 GO (biological process)"	"CLB22 GO (cellular component)"	"CLB22 GO (molecular function)"	"WT_A"	"WT_B"	"WT_C"	"WT_D"	"F174_A"	"F174_B"	"F174_D"	"F174_E"	"UVF4_A"	"UVF4_B"	"UVF4_C"	"UVF4_D"	"UVF4_E"	"p"	"q"	"nWT"	"nF174"	"nUVF4"	"log2FoldChange(F174/WT)"	"log2FoldChange(UVF4/WT)"	"log2FoldChange(UVF4/F174)"	"PresentOnlyWT"	"PresentOnlyF174"	"PresentOnlyUVF4"	"AbsentOnlyWT"	"AbsentOnlyF174"	"AbsentOnlyUVF4"	"Pass pq"	"Pass FoldChange"	"PassUniquePresence"	"PassUniqueAbsence"	"PassOverall"	"pq WT vs F174"	"Similarity_Yarlip1.to.yarrowiacyc"	"Similarity_yarrowiacyc.to.Yarlip1"
G1FV3-25613-MONOMER	"jgi|Yarlip1|113124|estExt_Genewise1Plus.C_4_t30135"	"jgi|Yarlip1|113124|estExt_Genewise1Plus.C_4_t30135"	"Q6C3G2"	"YALI0E35156p"	"0"	"0"	"ATP binding [GO:0005524]; ligase activity [GO:0016874]; metal ion binding [GO:0046872]"					"32.02634169603227"	"31.36557121552121"		"33.35573485814227"		"31.822174856787377"	"32.812231330394404"		"29.710893960772914"			"0"	"3"	"3"			"-0.8007825405803466"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"99.95"	"99.95"
G1FV3-29972-MONOMER	"jgi|Yarlip1|122005|fgenesh1_kg.1_#_987_#_TRINITY_DN3249_c0_g1_i1"	"jgi|Yarlip1|122005|fgenesh1_kg.1_#_987_#_TRINITY_DN3249_c0_g1_i1"	"F2Z5W7"	"YALI0B13838p"	"0"	"0"	"heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]"	"29.652428428577274"		"27.108090815873137"	"28.677679752874077"												"3"	"0"	"0"				"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"100.0"	"100.0"
G1FV3-28158-MONOMER	"jgi|Yarlip1|123691|fgenesh1_kg.3_#_223_#_TRINITY_DN9245_c0_g1_i1"	"jgi|Yarlip1|123691|fgenesh1_kg.3_#_223_#_TRINITY_DN9245_c0_g1_i1"	"Q6C7X6"	"YALI0D24541p"	"0"	"0"	"0"					"28.932101028403164"	"28.939548905819525"	"24.807004624580628"		"27.67720928326583"			"27.820372690146705"	"28.64354521162814"			"0"	"3"	"3"			"0.4874908754124547"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"100.0"	"100.0"
G1FV3-28116-MONOMER	"jgi|Yarlip1|123765|fgenesh1_kg.3_#_297_#_TRINITY_DN788_c0_g1_i1"	"jgi|Yarlip1|123765|fgenesh1_kg.3_#_297_#_TRINITY_DN788_c0_g1_i1"	"Q6C814"	"YALI0D23639p"	"lysyl-tRNA aminoacylation [GO:0006430]"	"cytoplasm [GO:0005737]"	"ATP binding [GO:0005524]; lysine-tRNA ligase activity [GO:0004824]; nucleic acid binding [GO:0003676]"					"25.828203710627086"	"32.78228283988157"	"29.585130231382568"	"27.839060162667227"	"33.33450067774045"	"29.344709876905508"	"28.202097511704896"		"32.83735041858348"			"0"	"4"	"4"			"1.920995385093974"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"100.0"	"100.0"
G1FV3-27371-MONOMER	"jgi|Yarlip1|124263|fgenesh1_kg.3_#_795_#_TRINITY_DN6339_c0_g1_i1"	"jgi|Yarlip1|124263|fgenesh1_kg.3_#_795_#_TRINITY_DN6339_c0_g1_i1"	"Q6C9Z8"	"YALI0D07062p"	"0"	"0"	"catalytic activity [GO:0003824]; coenzyme binding [GO:0050662]"						"25.933685973077463"	"26.725594465394604"	"25.198917089526628"	"31.24641234748051"	"29.372344322001663"	"31.081661716341426"	"27.954907100444352"	"27.318276068370587"			"0"	"3"	"5"			"3.441987801594802"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"100.0"	"100.0"
G1FV3-27455-MONOMER	"jgi|Yarlip1|124429|fgenesh1_kg.3_#_961_#_TRINITY_DN6457_c0_g1_i1"	"jgi|Yarlip1|124429|fgenesh1_kg.3_#_961_#_TRINITY_DN6457_c0_g1_i1"	"Q6C9R8"	"YALI0D08888p"	"DNA replication initiation [GO:0006270]"	"replication fork protection complex [GO:0031298]"	"DNA replication origin binding [GO:0003688]; single-stranded DNA binding [GO:0003697]"	"32.19703711212321"	"32.79759174172235"	"31.610476755621907"													"3"	"0"	"0"				"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"100.0"	"100.0"
G1FV3-24216-MONOMER	"jgi|Yarlip1|100191|estExt_Genewise1.C_5_t10400"	"jgi|Yarlip1|100191|estExt_Genewise1.C_5_t10400"	"Q6C718"	"YALI0E04510p"	"0"	"integral component of membrane [GO:0016021]"	"transmembrane transporter activity [GO:0022857]"			"26.7746730659391"													"1"	"0"	"0"				"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-24239-MONOMER	"jgi|Yarlip1|100239|estExt_Genewise1.C_5_t10448"	"jgi|Yarlip1|100239|estExt_Genewise1.C_5_t10448"	"Q6C6Z6"	"YALI0E05027p"	"prolyl-tRNA aminoacylation [GO:0006433]"	"aminoacyl-tRNA synthetase multienzyme complex [GO:0017101]; cytoplasm [GO:0005737]"	"ATP binding [GO:0005524]; proline-tRNA ligase activity [GO:0004827]"	"37.3903746849401"	"37.365744857858665"	"38.380963600851096"	"37.47776795153115"	"37.15472879675309"	"36.78094930748229"	"37.10981012477381"	"38.317651446290405"	"37.095057601752934"	"37.86408597563003"	"37.256718698630614"	"36.93115609321647"	"36.961468951582816"	"0.47187569535809"	"0.435165502927028"	"4"	"4"	"5"	"-0.31292785497035425"	"-0.43201530963267487"	"-0.11908745466232062"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-24256-MONOMER	"jgi|Yarlip1|100270|estExt_Genewise1.C_5_t10479"	"jgi|Yarlip1|100270|estExt_Genewise1.C_5_t10479"	"Q6C6X9"	"YALI0E05401p"	"0"	"cytoplasm [GO:0005737]"	"ubiquitin protein ligase activity [GO:0061630]"																"0"	"0"	"0"				"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-25172-MONOMER	"jgi|Yarlip1|124769|fgenesh1_kg.4_#_245_#_TRINITY_DN3078_c0_g1_i1"	"jgi|Yarlip1|124769|fgenesh1_kg.4_#_245_#_TRINITY_DN3078_c0_g1_i1"	"Q6C4L0"	"YALI0E25872p"	"ribosomal small subunit biogenesis [GO:0042274]"	"90S preribosome [GO:0030686]; nucleolus [GO:0005730]"	"rRNA binding [GO:0019843]"										"29.32322030958597"	"25.87363729513658"		"30.802598224229556"			"0"	"0"	"3"				"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"100.0"	"100.0"
