yarrowiacyc,Row Labels,Description,UniProt,UniProt Gene Name,CLB22 Gene Name,CLB22 GO (biological process),,CLB22 GO (cellular component),CLB22 GO (molecular function),WT_A,WT_B,WT_C,WT_D,F174_A,F174_B,F174_D,F174_E,UVF4_A,UVF4_B,UVF4_C,UVF4_D,UVF4_E,p,q,nWT,nF174,nUVF4,log2FoldChange(F174/WT),log2FoldChange(UVF4/WT),log2FoldChange(UVF4/F174),PresentOnlyWT,PresentOnlyF174,PresentOnlyUVF4,AbsentOnlyWT,AbsentOnlyF174,AbsentOnlyUVF4,Pass pq,Pass FoldChange,PassUniquePresence,PassUniqueAbsence,PassOverall,pq WT vs F174,Similarity_Yarlip1.to.yarrowiacyc,Similarity_yarrowiacyc.to.Yarlip1
"G1FV3-25613-MONOMER	",jgi|Yarlip1|113124|estExt_Genewise1Plus.C_4_t30135,jgi|Yarlip1|113124|estExt_Genewise1Plus.C_4_t30135,Q6C3G2,YALI0E35156g,YALI0E35156p,0,,0,ATP binding [GO:0005524]; ligase activity [GO:0016874]; metal ion binding [GO:0046872],32.0263417,31.36557122,33.35573486,31.82217486,32.81223133,29.71089396,0,3,3,-0.800782541,0,0,0,1,0,0,0,0,0,1,1,1,99.95,99.95,,,,,,,,,,,
"G1FV3-29972-MONOMER	",jgi|Yarlip1|122005|fgenesh1_kg.1_#_987_#_TRINITY_DN3249_c0_g1_i1,jgi|Yarlip1|122005|fgenesh1_kg.1_#_987_#_TRINITY_DN3249_c0_g1_i1,F2Z5W7,YALI0B13838g,YALI0B13838p,0,,0,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]",29.65242843,27.10809082,28.67767975,3,0,0,1,0,0,0,0,0,0,0,1,0,1,1,100,100,,,,,,,,,,,,,,,
"G1FV3-28158-MONOMER	",jgi|Yarlip1|123691|fgenesh1_kg.3_#_223_#_TRINITY_DN9245_c0_g1_i1,jgi|Yarlip1|123691|fgenesh1_kg.3_#_223_#_TRINITY_DN9245_c0_g1_i1,Q6C7X6,YALI0D24541g,YALI0D24541p,0,,0,0,28.93210103,28.93954891,24.80700462,27.67720928,27.82037269,28.64354521,0,3,3,0.487490875,0,0,0,1,0,0,0,0,0,1,1,1,100,100,,,,,,,,,,,
"G1FV3-28116-MONOMER	",jgi|Yarlip1|123765|fgenesh1_kg.3_#_297_#_TRINITY_DN788_c0_g1_i1,jgi|Yarlip1|123765|fgenesh1_kg.3_#_297_#_TRINITY_DN788_c0_g1_i1,Q6C814,YALI0D23639g,YALI0D23639p,lysyl-tRNA aminoacylation [GO:0006430],,cytoplasm [GO:0005737],ATP binding [GO:0005524]; lysine-tRNA ligase activity [GO:0004824]; nucleic acid binding [GO:0003676],25.82820371,32.78228284,29.58513023,27.83906016,33.33450068,29.34470988,28.20209751,32.83735042,0,4,4,1.920995385,0,0,0,1,0,0,0,0,0,1,1,1,100,100,,,,,,,,,
"G1FV3-27371-MONOMER	",jgi|Yarlip1|124263|fgenesh1_kg.3_#_795_#_TRINITY_DN6339_c0_g1_i1,jgi|Yarlip1|124263|fgenesh1_kg.3_#_795_#_TRINITY_DN6339_c0_g1_i1,Q6C9Z8,YALI0D07062g,YALI0D07062p,0,,0,catalytic activity [GO:0003824]; coenzyme binding [GO:0050662],25.93368597,26.72559447,25.19891709,31.24641235,29.37234432,31.08166172,27.9549071,27.31827607,0,3,5,3.441987802,0,0,0,1,0,0,0,0,0,1,1,1,100,100,,,,,,,,,
"G1FV3-27455-MONOMER	",jgi|Yarlip1|124429|fgenesh1_kg.3_#_961_#_TRINITY_DN6457_c0_g1_i1,jgi|Yarlip1|124429|fgenesh1_kg.3_#_961_#_TRINITY_DN6457_c0_g1_i1,Q6C9R8,YALI0D08888g,YALI0D08888p,DNA replication initiation [GO:0006270],,replication fork protection complex [GO:0031298],DNA replication origin binding [GO:0003688]; single-stranded DNA binding [GO:0003697],32.19703711,32.79759174,31.61047676,3,0,0,1,0,0,0,0,0,0,0,1,0,1,1,100,100,,,,,,,,,,,,,,,
"G1FV3-24216-MONOMER	",jgi|Yarlip1|100191|estExt_Genewise1.C_5_t10400,jgi|Yarlip1|100191|estExt_Genewise1.C_5_t10400,Q6C718,YALI0E04510g,YALI0E04510p,0,,integral component of membrane [GO:0016021],transmembrane transporter activity [GO:0022857],26.77467307,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,,,,,,,,,,,,,,,,,
"G1FV3-24239-MONOMER	",jgi|Yarlip1|100239|estExt_Genewise1.C_5_t10448,jgi|Yarlip1|100239|estExt_Genewise1.C_5_t10448,Q6C6Z6,YALI0E05027g,YALI0E05027p,prolyl-tRNA aminoacylation [GO:0006433],,aminoacyl-tRNA synthetase multienzyme complex [GO:0017101]; cytoplasm [GO:0005737],ATP binding [GO:0005524]; proline-tRNA ligase activity [GO:0004827],37.39037468,37.36574486,38.3809636,37.47776795,37.1547288,36.78094931,37.10981012,38.31765145,37.0950576,37.86408598,37.2567187,36.93115609,36.96146895,0.471875695,0.435165503,4,4,5,-0.312927855,-0.43201531,-0.119087455,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"G1FV3-24256-MONOMER	",jgi|Yarlip1|100270|estExt_Genewise1.C_5_t10479,jgi|Yarlip1|100270|estExt_Genewise1.C_5_t10479,Q6C6X9,YALI0E05401g,YALI0E05401p,0,,cytoplasm [GO:0005737],ubiquitin protein ligase activity [GO:0061630],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,,,,,,,,,,,,,,,,,,
"G1FV3-25172-MONOMER	",jgi|Yarlip1|124769|fgenesh1_kg.4_#_245_#_TRINITY_DN3078_c0_g1_i1,jgi|Yarlip1|124769|fgenesh1_kg.4_#_245_#_TRINITY_DN3078_c0_g1_i1,Q6C4L0,YALI0E25872g,YALI0E25872p,ribosomal small subunit biogenesis [GO:0042274],,90S preribosome [GO:0030686]; nucleolus [GO:0005730],rRNA binding [GO:0019843],29.32322031,25.8736373,30.80259822,0,0,3,0,0,1,0,0,0,0,0,1,0,1,0,100,100,,,,,,,,,,,,,,,
"G1FV3-24302-MONOMER	",jgi|Yarlip1|100363|estExt_Genewise1.C_5_t20075,jgi|Yarlip1|100363|estExt_Genewise1.C_5_t20075,Q6C6T5,YALI0E06457g,YALI0E06457p,lysine biosynthetic process via aminoadipic acid [GO:0019878],,0,L-aminoadipate-semialdehyde dehydrogenase activity [GO:0004043]; phosphopantetheine binding [GO:0031177],37.90305862,37.75083328,38.00418604,37.74314978,37.9208932,37.88555435,37.76849525,38.17636794,37.64748235,37.65065627,37.85650041,37.54995133,37.57219174,0.033053166,0.176491629,4,4,5,0.087520756,-0.194950509,-0.282471265,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"G1FV3-24320-MONOMER	",jgi|Yarlip1|100396|estExt_Genewise1.C_5_t20111,jgi|Yarlip1|100396|estExt_Genewise1.C_5_t20111,Q6C6R7,YALI0E06853g,MICOS complex subunit,cristae formation [GO:0042407],,MICOS complex [GO:0061617]; mitochondrial crista junction [GO:0044284],0,36.66941068,36.66830858,36.19389697,36.37252959,36.13869582,36.67099248,36.68887992,36.31243001,36.4102165,37.00907527,36.065815,36.76922131,36.4723171,0.890490922,0.561840406,4,4,5,-0.023286895,0.069292583,0.092579478,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"G1FV3-25805-MONOMER	",jgi|Yarlip1|100741|estExt_Genewise1.C_6_t10077,jgi|Yarlip1|100741|estExt_Genewise1.C_6_t10077,Q6C2Y0,YALI0F04169g,"Alpha-1,4 glucan phosphorylase (EC 2.4.1.1)",glycogen catabolic process [GO:0005980],,cytoplasm [GO:0005737],glycogen phosphorylase activity [GO:0008184]; linear malto-oligosaccharide phosphorylase activity [GO:0102250]; pyridoxal phosphate binding [GO:0030170]; SHG alpha-glucan phosphorylase activity [GO:0102499],30.08914667,28.68932525,29.57535262,30.77140222,31.424268,25.93343835,30.95866593,28.79566183,29.99415444,30.03104789,27.79639852,0.883735089,0.561293175,3,4,4,0.320668778,-0.296959178,-0.617627956,0,0,0,0,0,0,0,0,0,0,0,0,100,100,,
"G1FV3-25494-MONOMER	",jgi|Yarlip1|125262|fgenesh1_kg.4_#_738_#_TRINITY_DN5017_c0_g1_i1,jgi|Yarlip1|125262|fgenesh1_kg.4_#_738_#_TRINITY_DN5017_c0_g1_i1,Q6C3R8,YALI0E32637g,YALI0E32637p,protein import into nucleus [GO:0006606],,nuclear envelope [GO:0005635],nuclear import signal receptor activity [GO:0061608],26.51890355,24.58651959,26.39932083,0,0,3,0,0,1,0,0,0,0,0,1,0,1,0,100,100,,,,,,,,,,,,,,,
"G1FV3-25850-MONOMER	",jgi|Yarlip1|100812|estExt_Genewise1.C_6_t10149,jgi|Yarlip1|100812|estExt_Genewise1.C_6_t10149,Q6C2T9,TPI1,Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Triose-phosphate isomerase),canonical glycolysis [GO:0061621]; gluconeogenesis [GO:0006094]; glyceraldehyde-3-phosphate biosynthetic process [GO:0046166]; glycerol catabolic process [GO:0019563]; glycolytic process [GO:0006096],,cytosol [GO:0005829]; mitochondrion [GO:0005739],triose-phosphate isomerase activity [GO:0004807],40.50697045,40.2820097,40.035907,40.16134946,40.29055382,39.97101841,40.16713367,40.16406876,40.04032058,40.37932425,39.9784431,40.20575248,40.09389078,0.596983478,0.475785281,4,4,5,-0.098365487,-0.107012914,-0.008647427,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"G1FV3-25971-MONOMER	",jgi|Yarlip1|101054|estExt_Genewise1.C_6_t10396,jgi|Yarlip1|101054|estExt_Genewise1.C_6_t10396,Q6C2H9,YALI0F07755g,YALI0F07755p,maturation of 5.8S rRNA [GO:0000460],,nucleus [GO:0005634],0,25.40220304,26.24738836,0,1,1,0.845185322,0,0,0,0,0,0,0,0,0,0,0,0,100,100,,,,,,,,,,,,,,,
"G1FV3-25992-MONOMER	",jgi|Yarlip1|101089|estExt_Genewise1.C_6_t10432,jgi|Yarlip1|101089|estExt_Genewise1.C_6_t10432,Q6C2G0,YALI0F08195g,YALI0F08195p,cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]; response to cadmium ion [GO:0046686],,mitochondrion [GO:0005739],thioredoxin peroxidase activity [GO:0008379],38.07721841,38.00837257,38.16083821,37.64807657,37.77311709,38.09215009,37.93370848,38.10918724,37.98510746,37.66747543,37.81356373,37.58511561,37.72574932,0.148764548,0.290492481,4,4,5,0.003414287,-0.218224126,-0.221638413,0,0,0,0,0,0,0,0,0,0,0,0,100,100
